"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation"
"1","GBIF:2482048","Tachybaptus ruficollis","Animalia | Chordata | Aves | Podicipediformes | Podicipedidae | Tachybaptus | Tachybaptus ruficollis",NA,"preysOn","GBIF:1428577","Brachythemis contaminata","Animalia | Arthropoda | Insecta | Odonata | Libellulidae | Brachythemis | Brachythemis contaminata",NA,NA,NA,NA,NA
"2","GBIF:2482048","Tachybaptus ruficollis","Animalia | Chordata | Aves | Podicipediformes | Podicipedidae | Tachybaptus | Tachybaptus ruficollis",NA,"preysOn","FBC:FB:SpecCode:358","Perca fluviatilis","Actinopterygii | Perciformes | Percidae | Perca | Perca fluviatilis",NA,NA,NA,NA,NA
"3","GBIF:2482048","Tachybaptus ruficollis","Animalia | Chordata | Aves | Podicipediformes | Podicipedidae | Tachybaptus | Tachybaptus ruficollis",NA,"preysOn","GBIF:2482048","Tachybaptus ruficollis","Animalia | Chordata | Aves | Podicipediformes | Podicipedidae | Tachybaptus | Tachybaptus ruficollis",NA,NA,NA,NA,NA
"4","GBIF:2482048","Tachybaptus ruficollis","Animalia | Chordata | Aves | Podicipediformes | Podicipedidae | Tachybaptus | Tachybaptus ruficollis",NA,"preysOn","GBIF:2482048","Tachybaptus ruficollis","Animalia | Chordata | Aves | Podicipediformes | Podicipedidae | Tachybaptus | Tachybaptus ruficollis",NA,NA,NA,NA,NA
"5","GBIF:2482048","Tachybaptus ruficollis","Animalia | Chordata | Aves | Podicipediformes | Podicipedidae | Tachybaptus | Tachybaptus ruficollis",NA,"preysOn","GBIF:1428577","Brachythemis contaminata","Animalia | Arthropoda | Insecta | Odonata | Libellulidae | Brachythemis | Brachythemis contaminata",NA,NA,NA,NA,NA
"6","GBIF:2482048","Tachybaptus ruficollis","Animalia | Chordata | Aves | Podicipediformes | Podicipedidae | Tachybaptus | Tachybaptus ruficollis",NA,"preysOn","FBC:FB:SpecCode:358","Perca fluviatilis","Actinopterygii | Perciformes | Percidae | Perca | Perca fluviatilis",NA,NA,NA,NA,NA
"7","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:580416","Ipomoea obscura","Plantae | Tracheophyta | Magnoliopsida | Solanales | Convolvulaceae | Ipomoea | Ipomoea obscura",NA,NA,NA,NA,NA
"8","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:2885901","Kedrostis foetidissima","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Rosids | Fabids | Cucurbitales | Cucurbitaceae | Coniandreae | Kedrostis | Kedrostis foetidissima",NA,NA,NA,NA,NA
"9","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:2884985","Tricholaena teneriffae","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Tricholaena | Tricholaena teneriffae",NA,NA,NA,NA,NA
"10","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:108192","Pennisetum","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Pennisetum",NA,NA,NA,NA,NA
"11","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5818149","Pennisetum mezianum","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Pennisetum | Pennisetum mezianum",NA,NA,NA,NA,NA
"12","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:60800","Kalanchoe","Plantae | Tracheophyta | Magnoliopsida | Saxifragales | Crassulaceae | kalanchoe",NA,NA,NA,NA,NA
"13","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:4858350","Ficus ingens","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Rosids | Fabids | Rosales | Moraceae | Ficus | Ficus ingens",NA,NA,NA,NA,NA
"14","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:2874750","Turraea","Plantae | Tracheophyta | Magnoliopsida | Sapindales | Meliaceae | Turraea",NA,NA,NA,NA,NA
"15","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5349967","Cordia ovalis","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Asterids | Lamiids | Boraginales | Cordiaceae | Cordia | Cordia ovalis",NA,NA,NA,NA,NA
"16","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1295965","Pavetta gardeniifolia gardeniifolia","Plantae | Tracheophyta | Magnoliopsida | Gentianales | Rubiaceae | Pavetta | Pavetta gardeniifolia | Pavetta gardeniifolia var.",NA,NA,NA,NA,NA
"17","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1122821","Commelina africana","Plantae | Tracheophyta | Liliopsida | Commelinales | Commelinaceae | Commelina | Commelina africana",NA,NA,NA,NA,NA
"18","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:71175","Lippia","Plantae | Tracheophyta | Magnoliopsida | Lamiales | Verbenaceae | lippia",NA,NA,NA,NA,NA
"19","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5051578","Pappea","Plantae | Tracheophyta | Magnoliopsida | Apiales | Apiaceae | Pappea",NA,NA,NA,NA,NA
"20","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:53417","Acalypha","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Euphorbiaceae | acalypha",NA,NA,NA,NA,NA
"21","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1114966","Heteropogon contortus","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Heteropogon | Heteropogon contortus",NA,NA,NA,NA,NA
"22","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:704017","Senna didymobotrya","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Senna | Senna didymobotrya",NA,NA,NA,NA,NA
"23","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:33621","Albuca","Plantae | Tracheophyta | Liliopsida | Asparagales | Asparagaceae | Albuca",NA,NA,NA,NA,NA
"24","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:60515","Ocimum","Plantae | Tracheophyta | Magnoliopsida | Lamiales | Lamiaceae | Ocimum",NA,NA,NA,NA,NA
"25","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5540593","Cyphostemma","Cyphostemma",NA,NA,NA,NA,NA
"26","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:11887906","Hypoestes forskaolii","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Asterids | Lamiids | Lamiales | Acanthaceae | Acanthoideae | Ruellieae | Justiciinae | Hypoestes | Hypoestes forskaolii",NA,NA,NA,NA,NA
"27","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1115489","Cenchrus ciliaris","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Cenchrus | Cenchrus ciliaris",NA,NA,NA,NA,NA
"28","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5414681","Pavonia burchellii","Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | Pavonia | Pavonia burchellii",NA,NA,NA,NA,NA
"29","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:5163428","Maerua triphylla","Maerua triphylla",NA,NA,NA,NA,NA
"30","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:2900468","Pupalia lappacea","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Caryophyllales | Amaranthaceae | Pupalia | Pupalia lappacea",NA,NA,NA,NA,NA
"31","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1152579","Phyllanthus sepialis","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Phyllanthaceae | Phyllanthus | Phyllanthus sepialis",NA,NA,NA,NA,NA
"32","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:1147266","Croton dichogamus","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Euphorbiaceae | Croton | Croton dichogamus",NA,NA,NA,NA,NA
